"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
8,105.0,8626,Michael SMITH,16 SEP 1967,CAN,1,Götzis (AUT),26 MAY 1996,1223
16,109.0,8616,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Letzigrund, Zürich (SUI)",13 AUG 2014,1222
24,113.0,8607,Trey HARDEE,07 FEB 1984,USA,1,"DS, Daegu (KOR)",28 AUG 2011,1221
32,117.0,8604,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,1,Götzis (AUT),30 MAY 1993,1220
40,117.0,8604,Pierce LEPAGE,22 JAN 1996,CAN,5,"National Stadium, Tokyo (JPN)",05 AUG 2021,1220
48,125.0,8592,Tomáš DVOŘÁK,11 MAY 1972,CZE,2,Götzis (AUT),31 MAY 1998,1218
56,128.0,8589,Kyle GARLAND,28 MAY 2000,USA,1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1218
64,132.0,8585,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"FBK Stadium, Hengelo (NED)",29 JUN 2008,1217
72,137.0,8576,Chris HUFFINS,19 APR 1970,USA,2,"New York, NY (USA)",20 JUL 1998,1216
80,141.0,8573,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,3,Götzis (AUT),31 MAY 1998,1215
88,145.0,8569,Tom PAPPAS,06 SEP 1976,USA,1,Marburg (GER),09 AUG 2009,1215
96,149.0,8561,Rico FREIMUTH,14 MAR 1988,GER,3,"National Stadium, Beijing (CHN)",29 AUG 2015,1213
104,153.0,8555,Michael SMITH,16 SEP 1967,CAN,3,Götzis (AUT),01 JUN 1997,1212
112,157.0,8552,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,4,"Népstadion, Budapest (HUN)",20 AUG 1998,1212
120,161.0,8549,Michael SMITH,16 SEP 1967,CAN,2,"National Stadium, Tokyo (JPN)",30 AUG 1991,1211
128,165.0,8546,Chris HUFFINS,19 APR 1970,USA,3,"Atlanta, GA (USA)",22 JUN 1996,1211
136,168.0,8539,Eelco SINTNICOLAAS,07 APR 1987,NED,2,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1210
144,172.0,8534,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1209
152,177.0,8531,Frank BUSEMANN,26 FEB 1975,GER,6,Götzis (AUT),04 JUN 2000,1209
160,180.0,8527,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,Götzis (AUT),27 MAY 2001,1208
168,183.0,8526,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1208
176,189.0,8523,Leonel SUÁREZ,01 SEP 1987,CUB,3,"Olympic Stadium, London (GBR)",09 AUG 2012,1207
184,193.0,8521,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1207
192,196.0,8519,Hans VAN ALPHEN,12 JAN 1982,BEL,1,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1207
0,201.0,8517,Tom PAPPAS,06 SEP 1976,USA,2,"Sacramento, CA (USA)",17 JUL 2004,1206
8,203.0,8514,Maicel UIBO,27 DEC 1992,EST,2,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1206
16,209.0,8511,Tom PAPPAS,06 SEP 1976,USA,3,"Eugene, OR (USA)",30 JUN 2008,1206
24,212.0,8506,Tomáš DVOŘÁK,11 MAY 1972,CZE,5,"Népstadion, Budapest (HUN)",20 AUG 1998,1205
32,216.0,8505,Ashton EATON,21 JAN 1988,USA,2,"DS, Daegu (KOR)",28 AUG 2011,1205
40,221.0,8498,Ilya SHKURENYOV,11 JAN 1991,RUS,3,"Letzigrund, Zürich (SUI)",13 AUG 2014,1204
48,224.0,8494,Ilya SHKURENYOV,11 JAN 1991,ANA,4,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1203
56,227.0,8492,Ashley MOLONEY,13 MAR 2000,AUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",20 DEC 2020,1203
64,233.0,8488,Christian SCHENK,09 FEB 1965,GDR,1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1202
72,235.0,8485,Steven BASTIEN,04 MAR 1994,USA,2,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1201
80,241.0,8482,Bryan CLAY,03 JAN 1980,USA,2,"Palo Alto, CA (USA)",22 JUN 2003,1201
88,245.0,8480,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1201
96,247.0,8478,Eelco SINTNICOLAAS,07 APR 1987,NED,4,"Letzigrund, Zürich (SUI)",13 AUG 2014,1200
104,252.0,8477,Arthur ABELE,30 JUL 1986,GER,5,"Letzigrund, Zürich (SUI)",13 AUG 2014,1200
112,257.0,8473,Uwe FREIMUTH,10 SEP 1961,GDR,1,Götzis (AUT),26 MAY 1985,1200
120,260.0,8471,Zachery ZIEMEK,23 FEB 1993,USA,3,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1199
128,265.0,8467,Tom PAPPAS,06 SEP 1976,USA,1,"Sacramento, CA (USA)",21 JUL 2000,1199
136,268.0,8463,Tom PAPPAS,06 SEP 1976,USA,1,"Tucson, AZ (USA)",18 MAR 1999,1198
144,273.0,8460,Paul MEIER,27 JUL 1971,GER,2,Götzis (AUT),30 MAY 1993,1198
152,277.0,8458,Chris HUFFINS,19 APR 1970,USA,2,"Indianapolis, IN (USA)",12 JUN 1997,1197
160,281.0,8456,Tomáš DVOŘÁK,11 MAY 1972,CZE,2,Talence (FRA),15 SEP 1996,1197
168,283.0,8453,Pierce LEPAGE,22 JAN 1996,CAN,1,"Stade Pierre Paul Bernard, Talence (FRA)",23 JUN 2019,1197
176,289.0,8447,Erki NOOL,25 JUN 1970,EST,3,Götzis (AUT),26 MAY 1996,1196
184,292.0,8446,Lindon VICTOR,28 FEB 1993,GRN,1,"Tuscaloosa, AL (USA)",13 MAY 2016,1195
192,295.0,8445,Stefan SCHMID,06 MAY 1970,GER,8,Götzis (AUT),04 JUN 2000,1195
0,300.0,8444,Kai KAZMIREK,28 JAN 1991,GER,1,"Stadionring, Ratingen (GER)",30 JUN 2019,1195
8,304.0,8439,Harrison WILLIAMS,07 MAR 1996,USA,1,"CVEATC, Chula Vista, CA (USA)",25 APR 2021,1194
16,309.0,8436,Dezső SZABÓ,04 SEP 1967,HUN,2,"Poljud Stadion, Split (CRO)",29 AUG 1990,1194
24,313.0,8434,Maurice SMITH,28 SEP 1980,JAM,1,Kladno (CZE),19 JUN 2008,1194
32,315.0,8433,Pascal BEHRENBRUCH,19 JAN 1985,GER,3,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1193
40,320.0,8430,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,3,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1193
48,325.0,8427,Michael SMITH,16 SEP 1967,CAN,1,Götzis (AUT),16 JUN 1991,1192
56,329.0,8425,Chris HUFFINS,19 APR 1970,USA,1f,Talence (FRA),14 SEP 1997,1192
64,333.0,8424,Torsten VOSS,24 MAR 1963,GDR,2,Götzis (AUT),26 MAY 1985,1192
72,336.0,8419,Michael SCHRADER,01 JUL 1987,GER,1,"Stadionring, Ratingen (GER)",28 JUN 2015,1191
80,340.0,8415,Michael SCHRADER,01 JUL 1987,GER,2,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1191
88,342.0,8414,Dmitriy KARPOV,23 JUL 1981,KAZ,1,"Stadionring, Ratingen (GER)",25 JUN 2006,1190
96,347.0,8413,Ilya SHKURENYOV,11 JAN 1991,ANA,8,"National Stadium, Tokyo (JPN)",05 AUG 2021,1190
104,352.0,8409,Michael SMITH,16 SEP 1967,CAN,3,Götzis (AUT),31 MAY 1992,1190
112,357.0,8405,Janek ÕIGLANE,25 APR 1994,EST,1,"Tom Black Track at LaPorte Stadium, Knoxville, TN (USA)",08 APR 2022,1189
120,361.0,8402,Christian SCHENK,09 FEB 1965,GER,2,Helmond (NED),07 JUL 1991,1189
128,363.0,8398,Mikk PAHAPILL,18 JUL 1983,EST,3,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1188
136,369.0,8394,Christian SCHENK,09 FEB 1965,GER,3,"National Stadium, Tokyo (JPN)",30 AUG 1991,1187
144,372.0,8392,Zachery ZIEMEK,23 FEB 1993,USA,7,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1187
152,375.0,8390,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,Arles (FRA),02 JUL 2006,1187
160,381.0,8388,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,6,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1186
168,384.0,8385,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,3,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1186
176,389.0,8381,Uwe FREIMUTH,10 SEP 1961,GDR,1,Götzis (AUT),19 JUN 1988,1185
184,389.0,8381,Jorge UREÑA,08 OCT 1993,ESP,2,"Stadionring, Ratingen (GER)",18 JUN 2023,1185
192,394.0,8380,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,Kladno (CZE),09 JUN 2013,1185
0,399.0,8379,Lindon VICTOR,28 FEB 1993,GRN,1,"Eugene, OR (USA)",09 JUN 2016,1185
8,404.0,8374,Pascal BEHRENBRUCH,19 JAN 1985,GER,3,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1184
16,409.0,8371,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,4,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1184
24,413.0,8370,Andrei KRAUCHANKA,04 JAN 1986,BLR,3,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,1184
32,416.0,8366,Paul MEIER,27 JUL 1971,GER,1,Oulu (FIN),11 JUL 1993,1183
40,420.0,8365,Sergey SVIRIDOV,20 OCT 1990,RUS,1,"Adler, Sochi (RUS)",08 MAY 2012,1183
48,425.0,8362,Dave STEEN,14 NOV 1959,CAN,2,Götzis (AUT),19 JUN 1988,1182
56,425.0,8362,Erki NOOL,25 JUN 1970,EST,1f,Tallinn (EST),16 JUN 1996,1182
64,433.0,8358,Dan O'BRIEN,18 JUL 1966,USA,2,"Seattle, WA (USA)",25 JUL 1990,1182
72,437.0,8356,Lev LOBODIN,01 APR 1969,RUS,3,Talence (FRA),22 SEP 2002,1181
80,441.0,8354,Ilya SHKURENYOV,11 JAN 1991,RUS,1,Cheboksary (RUS),06 JUN 2013,1181
88,444.0,8353,Erki NOOL,25 JUN 1970,EST,3f,Talence (FRA),14 SEP 1997,1181
96,447.0,8352,Tom PAPPAS,06 SEP 1976,USA,1,"Indianapolis, IN (USA)",23 JUN 2007,1181
104,451.0,8351,Frank BUSEMANN,26 FEB 1975,GER,7,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1181
112,457.0,8349,Christian PLAZIAT,28 OCT 1963,FRA,4,Götzis (AUT),19 JUN 1988,1180
120,459.0,8348,Yordani GARCÍA,21 NOV 1988,CUB,1,"Stadionring, Ratingen (GER)",21 JUN 2009,1180
128,462.0,8347,Leonel SUÁREZ,01 SEP 1987,CUB,1,La Habana (CUB),18 MAR 2016,1180
136,468.0,8345,Devon WILLIAMS,17 JAN 1994,USA,1,"Athens, GA (USA)",09 APR 2017,1180
144,471.0,8343,Willem COERTZEN,30 DEC 1982,RSA,9,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1179
152,477.0,8340,André NIKLAUS,30 AUG 1981,GER,5,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1179
160,480.0,8336,Timothy DUCKWORTH,18 JUN 1996,GBR,1,"Eugene, OR (USA)",07 JUN 2018,1178
168,485.0,8334,Aleksey DROZDOV,03 DEC 1983,RUS,1,Cheboksary (RUS),10 JUN 2011,1178
176,489.0,8332,Sebastian CHMARA,21 NOV 1971,POL,6,Götzis (AUT),31 MAY 1998,1178
184,493.0,8331,Torsten VOSS,24 MAR 1963,GDR,2,Götzis (AUT),24 MAY 1987,1178
192,495.0,8330,Roman ŠEBRLE,26 NOV 1974,CZE,6,Götzis (AUT),01 JUN 1997,1177
0,501.0,8326,Michael SMITH,16 SEP 1967,CAN,1,Victoria (CAN),24 AUG 1994,1177
8,505.0,8324,Steve FRITZ,01 NOV 1967,USA,7,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1176
16,507.0,8323,Kai KAZMIREK,28 JAN 1991,GER,2,"Stadionring, Ratingen (GER)",26 JUN 2016,1176
24,511.0,8322,Rico FREIMUTH,14 MAR 1988,GER,4,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1176
32,516.0,8321,Oleksiy KASYANOV,26 AUG 1985,UKR,2,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,1176
40,519.0,8320,Rico FREIMUTH,14 MAR 1988,GER,6,"Olympic Stadium, London (GBR)",09 AUG 2012,1176
48,523.0,8318,Kai KAZMIREK,28 JAN 1991,GER,3,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1176
56,529.0,8316,André NIKLAUS,30 AUG 1981,GER,4,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1175
64,531.0,8315,Chris HUFFINS,19 APR 1970,USA,1f,"Palo Alto, CA (USA)",25 APR 1998,1175
72,536.0,8314,Andrei KRAUCHANKA,04 JAN 1986,BLR,12,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1175
80,541.0,8312,Wilfrid BOULINEAU,13 MAY 1970,FRA,2,Arles (FRA),30 MAY 1999,1175
88,541.0,8312,Gunnar NIXON,13 JAN 1993,USA,13,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1175
96,548.0,8310,Dennis LEYCKES,20 APR 1982,GER,3,"Stadionring, Ratingen (GER)",25 JUN 2006,1174
104,552.0,8309,Damian WARNER,04 NOV 1989,CAN,5,"Olympic Stadium, London (GBR)",12 AUG 2017,1174
112,556.0,8307,Michael SMITH,16 SEP 1967,CAN,8,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1174
120,556.0,8307,Markus ROOTH,22 DEC 2001,NOR,1,"Stadio Zecchini, Grosseto (ITA)",01 MAY 2022,1174
128,562.0,8306,Harrison WILLIAMS,07 MAR 1996,USA,4,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1174
136,568.0,8303,Jeremy TAIWO,15 JAN 1990,USA,6,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1173
144,572.0,8302,Larbi BOURRADA,10 MAY 1988,ALG,1,"Stadionring, Ratingen (GER)",17 JUL 2011,1173
152,577.0,8300,Chris HUFFINS,19 APR 1970,USA,10,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1173
160,581.0,8299,Pavel TARNAVETSKIY,22 FEB 1961,URS,6,Götzis (AUT),19 JUN 1988,1173
168,584.0,8298,Maurice SMITH,28 SEP 1980,JAM,2,"Stade Pierre Paul Bernard, Talence (FRA)",23 SEP 2007,1172
176,584.0,8298,Sander SKOTHEIM,31 MAY 2002,NOR,2,"Stadio Zecchini, Grosseto (ITA)",01 MAY 2022,1172
184,592.0,8295,Devon WILLIAMS,17 JAN 1994,USA,1,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,1172
192,597.0,8293,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,3,Talence (FRA),30 JUL 2000,1172
0,597.0,8293,Lindon VICTOR,28 FEB 1993,GRN,7,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1172
8,605.0,8290,Christian PLAZIAT,28 OCT 1963,FRA,1,Tønsberg (NOR),16 JUL 1989,1171
16,605.0,8290,Vitaliy ZHUK,10 SEP 1996,BLR,3,"Olympiastadion, Berlin (GER)",08 AUG 2018,1171
24,613.0,8288,Yordani GARCÍA,21 NOV 1988,CUB,1,"Stadionring, Ratingen (GER)",20 JUN 2010,1171
32,615.0,8287,Rico FREIMUTH,14 MAR 1988,GER,2,"Stadionring, Ratingen (GER)",17 JUL 2011,1171
40,620.0,8285,Phil MCMULLEN,03 FEB 1975,USA,4,"Sacramento, CA (USA)",17 JUL 2004,1170
48,624.0,8282,Damian WARNER,04 NOV 1989,CAN,1,"Hampden Park, Glasgow (GBR)",29 JUL 2014,1170
56,629.0,8280,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,2,Maribor (SLO),29 JUN 1997,1170
64,632.0,8278,Maurice SMITH,28 SEP 1980,JAM,1,Rio de Janeiro (BRA),24 JUL 2007,1169
72,637.0,8275,Paul TEREK,20 OCT 1979,USA,3,"Palo Alto, CA (USA)",22 JUN 2003,1169
80,641.0,8273,André NIKLAUS,30 AUG 1981,GER,3,"Stadionring, Ratingen (GER)",22 JUN 2008,1169
88,645.0,8271,Michael SMITH,16 SEP 1967,CAN,13,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1168
96,647.0,8269,Kurt FELIX,04 JUL 1988,GRN,2,"CIBC, Toronto (CAN)",23 JUL 2015,1168
104,653.0,8267,Simon POELMAN,27 MAY 1963,NZL,6,"National Stadium, Tokyo (JPN)",30 AUG 1991,1168
112,657.0,8264,Mike MACZEY,28 SEP 1972,GER,1,Aachen (GER),08 AUG 1999,1167
120,661.0,8262,Romain BARRAS,01 AUG 1980,FRA,7,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1167
128,665.0,8260,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,1,Oulu (FIN),29 JUN 1997,1167
136,669.0,8256,Kamil DAMAŠEK,22 SEP 1973,CZE,2,Lage (GER),16 JUN 1996,1166
144,671.0,8255,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,15,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1166
152,674.0,8253,Dmitriy KARPOV,23 JUL 1981,KAZ,1,Desenzano del Garda (ITA),11 MAY 2003,1165
160,680.0,8252,Adam Sebastian HELCELET,27 OCT 1991,CZE,3,"Ratinan Stadion, Tampere (FIN)",12 JUL 2013,1165
168,683.0,8251,Janek ÕIGLANE,25 APR 1994,EST,1,Rakvere (EST),27 JUL 2019,1165
176,689.0,8249,Robert ZMĚLÍK,18 APR 1969,TCH,4,"Poljud Stadion, Split (CRO)",29 AUG 1990,1165
184,693.0,8247,Aleksandr POGORELOV,10 JAN 1980,RUS,2,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,1164
192,695.0,8246,Rik TAAM,17 JAN 1997,NED,6,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,1164
0,699.0,8245,Maicel UIBO,27 DEC 1992,EST,10,"National Stadium, Beijing (CHN)",29 AUG 2015,1164
8,702.0,8244,Willem COERTZEN,30 DEC 1982,RSA,1,Port Elizabeth (RSA),14 APR 2012,1164
16,708.0,8242,Pascal BEHRENBRUCH,19 JAN 1985,GER,6,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1164
24,713.0,8240,Lev LOBODIN,01 APR 1969,RUS,6,Götzis (AUT),30 MAY 2004,1163
32,715.0,8239,Romain BARRAS,01 AUG 1980,FRA,,Arles (FRA),14 JUN 2009,1163
40,720.0,8238,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,4,"Olympiastadion, München (GER)",08 AUG 2002,1163
48,724.0,8237,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,5,Götzis (AUT),28 MAY 1995,1163
56,728.0,8236,Klaus ISEKENMEIER,14 APR 1975,GER,1,"Stadionring, Ratingen (GER)",20 JUN 1998,1163
64,732.0,8234,Adam Sebastian HELCELET,27 OCT 1991,CZE,11,"National Stadium, Beijing (CHN)",29 AUG 2015,1162
72,736.0,8233,Stefan DREWS,12 FEB 1979,GER,4,"Stadionring, Ratingen (GER)",25 JUN 2006,1162
80,741.0,8232,Roman ŠEBRLE,26 NOV 1974,CZE,9,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1162
88,745.0,8231,Frank BUSEMANN,26 FEB 1975,GER,2f,"Stadionring, Ratingen (GER)",21 JUN 1998,1162
96,745.0,8231,Simon EHAMMER,07 FEB 2000,SUI,1,"Stadion Hard, Langenthal (SUI)",09 AUG 2020,1162
104,751.0,8229,Tim NOWAK,13 AUG 1995,GER,3,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018,1162
112,754.0,8228,Jan Felix KNOBEL,16 JAN 1989,GER,1,"Stadionring, Ratingen (GER)",15 JUN 2012,1162
120,760.0,8227,Lev LOBODIN,01 APR 1969,RUS,4,Brisbane (AUS),07 SEP 2001,1161
128,765.0,8226,Tomáš DVOŘÁK,11 MAY 1972,CZE,5,"Stadionring, Ratingen (GER)",16 JUN 2002,1161
136,768.0,8224,Ingmar VOS,28 MAY 1986,NED,6,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1161
144,771.0,8223,Daniel GOLUBOVIC,29 NOV 1993,AUS,1,"Sports Reserve, Townsville (AUS)",19 JUN 2021,1161
152,774.0,8222,Pieter BRAUN,21 JAN 1993,NED,7,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1161
160,780.0,8220,Frank MÜLLER,18 JUN 1968,GER,4,Götzis (AUT),31 MAY 1992,1160
168,780.0,8220,Maurice SMITH,28 SEP 1980,JAM,2,"Stade Pierre Paul Bernard, Talence (FRA)",14 SEP 2008,1160
176,787.0,8219,Sergey SVIRIDOV,20 OCT 1990,RUS,8,"Olympic Stadium, London (GBR)",09 AUG 2012,1160
184,790.0,8218,Oleksiy KASYANOV,26 AUG 1985,UKR,2,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2012,1160
192,797.0,8216,Tim BRIGHT,28 JUL 1960,USA,7,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1160
0,799.0,8215,Matthias PREY,09 AUG 1988,GER,6,"Stadionring, Ratingen (GER)",16 JUN 2013,1160
8,802.0,8214,Leonel SUÁREZ,01 SEP 1987,CUB,8,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1159
16,807.0,8213,Nicklas WIBERG,16 APR 1985,SWE,7,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1159
24,812.0,8211,Michael KOHNLE,03 MAY 1970,GER,4,Ratingen (GER),01 JUN 1997,1159
32,812.0,8211,Makenson GLETTY,02 APR 1999,FRA,8,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1159
40,818.0,8209,Tim NOWAK,13 AUG 1995,GER,7,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1159
48,825.0,8206,Grigoriy DEGTYARYOV,16 AUG 1958,URS,3,Krefeld (GER),08 SEP 1985,1158
56,825.0,8206,Chiel WARNERS,02 APR 1978,NED,1,Ried im Innkreis (AUT),01 JUL 2001,1158
64,833.0,8204,Alain BLONDEL,07 DEC 1962,FRA,3,Oulu (FIN),11 JUL 1993,1158
72,833.0,8204,Paweł WIESIOŁEK,13 AUG 1991,POL,1,Kraków (POL),09 JUN 2019,1158
80,840.0,8202,Vitaliy ZHUK,10 SEP 1996,BLR,1,"Dinamo National Olympic Stadium, Minsk (BLR)",01 AUG 2020,1158
88,845.0,8200,Antonio PEÑALVER,01 DEC 1968,ESP,8,"National Stadium, Tokyo (JPN)",30 AUG 1991,1157
96,849.0,8199,Aleksandr APAYCHEV,06 MAY 1961,URS,5,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1157
104,849.0,8199,Pascal BEHRENBRUCH,19 JAN 1985,GER,9,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1157
112,855.0,8198,Gunnar NIXON,13 JAN 1993,USA,2,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,1157
120,861.0,8196,Christian PLAZIAT,28 OCT 1963,FRA,7,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1157
128,861.0,8196,Kyle GARLAND,28 MAY 2000,USA,1,"Cushing Stadium, College Station, TX (USA)",14 MAY 2021,1157
136,868.0,8194,Gaël QUERIN,26 JUN 1987,FRA,9,"Letzigrund, Zürich (SUI)",13 AUG 2014,1156
144,870.0,8193,Manuel EITEL,28 JAN 1997,GER,2,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2022,1156
